subway_name,station_name,address
2호선,까치산,"화곡동 662-5
"
2호선,신정네거리,"신정동 1231
"
2호선,양천구청,"신정동 276-7
"
2호선,도림천,"신도림동 323-16
"
2호선,신도림,"신도림동 460-26
"
2호선,문래,"문래동3가 68-1
"
2호선,영등포구청,"당산동3가 270-1
"
2호선,당산,"당산동6가 323-1
"
2호선,합정,"서교동 393
"
2호선,홍대입구,"동교동 165
"
2호선,신촌,"노고산동 31-11
"
2호선,이대,"염리동 8-85
"
2호선,아현,"아현동 354-23
"
2호선,충정로,"충정로3가 319-1
"
2호선,시청,"서소문동 90-1
"
2호선,을지로입구,"을지로1가 100-1
"
2호선,을지로3가,"을지로3가 347-3
"
2호선,을지로4가,"을지로4가 267-1
"
2호선,동대문역사문화공원,"을지로7가 112-3
"
2호선,신당,"신당동 99
"
2호선,상왕십리,"하왕십리동 946-14
"
2호선,왕십리,"행당동 192
"
2호선,한양대,"행당동 산 17
"
2호선,뚝섬,"성수동1가 656-745
"
2호선,성수,"성수동2가 300-1
"
2호선,건대입구,"화양동 7-3
"
2호선,구의,"구의동 245-24
"
2호선,강변,"구의동 546-6
"
2호선,잠실나루,"신천동 15
"
2호선,잠실,"신천동 8
"
2호선,잠실새내,"잠실동 33
"
2호선,종합운동장,"잠실동 122
"
2호선,삼성,"삼성동 172-66
"
2호선,선릉,"삼성동 172-66
"
2호선,역삼,"역삼동 804
"
2호선,강남,"역삼동 858
"
2호선,교대,"서초동 1748-4
"
2호선,서초,"서초동 1748-5
"
2호선,방배,"방배동 912-14
"
2호선,사당,"사당동 1129
"
2호선,낙성대,"봉천동 1693-39
"
2호선,서울대입구,"봉천동 979-2
"
2호선,봉천,"봉천동 979-7
"
2호선,신림,"신림동 1467-10
"
2호선,신대방,"신대방동 643-1
"
2호선,구로디지털단지,"구로동 810-3
"
2호선,대림,"구로동 1204
"
2호선,용답,"용답동 127
"
2호선,신답,"용답동 129-2
"
2호선,용두,"용두동 47-1
"
2호선,신설동,"신설동 76-5
"
